individual	sex	population	description	super_population
HG03081	m	MSL	Mende in Sierra Leone	AFR
HG03082	f	MSL	Mende in Sierra Leone	AFR
HG03084	m	MSL	Mende in Sierra Leone	AFR
HG03085	f	MSL	Mende in Sierra Leone	AFR
HG03086	f	MSL	Mende in Sierra Leone	AFR
HG03088	f	MSL	Mende in Sierra Leone	AFR
HG03091	f	MSL	Mende in Sierra Leone	AFR
HG03095	f	MSL	Mende in Sierra Leone	AFR
HG03096	m	MSL	Mende in Sierra Leone	AFR
HG03097	f	MSL	Mende in Sierra Leone	AFR
HG03209	m	MSL	Mende in Sierra Leone	AFR
HG03212	f	MSL	Mende in Sierra Leone	AFR
HG03224	m	MSL	Mende in Sierra Leone	AFR
HG03225	m	MSL	Mende in Sierra Leone	AFR
HG03376	m	MSL	Mende in Sierra Leone	AFR
HG03378	f	MSL	Mende in Sierra Leone	AFR
HG03380	f	MSL	Mende in Sierra Leone	AFR
HG03382	m	MSL	Mende in Sierra Leone	AFR
HG03385	m	MSL	Mende in Sierra Leone	AFR
HG03388	m	MSL	Mende in Sierra Leone	AFR
HG03391	m	MSL	Mende in Sierra Leone	AFR
HG03394	m	MSL	Mende in Sierra Leone	AFR
HG03397	m	MSL	Mende in Sierra Leone	AFR
HG03401	f	MSL	Mende in Sierra Leone	AFR
HG03410	f	MSL	Mende in Sierra Leone	AFR
HG03419	f	MSL	Mende in Sierra Leone	AFR
HG03428	f	MSL	Mende in Sierra Leone	AFR
HG03432	m	MSL	Mende in Sierra Leone	AFR
HG03433	m	MSL	Mende in Sierra Leone	AFR
HG03436	m	MSL	Mende in Sierra Leone	AFR
HG03437	f	MSL	Mende in Sierra Leone	AFR
HG03439	m	MSL	Mende in Sierra Leone	AFR
HG03442	m	MSL	Mende in Sierra Leone	AFR
HG03445	m	MSL	Mende in Sierra Leone	AFR
HG03446	f	MSL	Mende in Sierra Leone	AFR
HG03449	f	MSL	Mende in Sierra Leone	AFR
HG03451	m	MSL	Mende in Sierra Leone	AFR
HG03452	f	MSL	Mende in Sierra Leone	AFR
HG03455	f	MSL	Mende in Sierra Leone	AFR
HG03457	m	MSL	Mende in Sierra Leone	AFR
HG03458	f	MSL	Mende in Sierra Leone	AFR
HG03460	m	MSL	Mende in Sierra Leone	AFR
HG03461	f	MSL	Mende in Sierra Leone	AFR
HG03464	f	MSL	Mende in Sierra Leone	AFR
HG03469	m	MSL	Mende in Sierra Leone	AFR
HG03470	f	MSL	Mende in Sierra Leone	AFR
HG03472	m	MSL	Mende in Sierra Leone	AFR
HG03473	f	MSL	Mende in Sierra Leone	AFR
HG03476	f	MSL	Mende in Sierra Leone	AFR
HG03478	m	MSL	Mende in Sierra Leone	AFR
HG03479	f	MSL	Mende in Sierra Leone	AFR
HG03484	m	MSL	Mende in Sierra Leone	AFR
HG03485	f	MSL	Mende in Sierra Leone	AFR
HG03547	m	MSL	Mende in Sierra Leone	AFR
HG03548	f	MSL	Mende in Sierra Leone	AFR
HG03556	m	MSL	Mende in Sierra Leone	AFR
HG03557	f	MSL	Mende in Sierra Leone	AFR
HG03558	f	MSL	Mende in Sierra Leone	AFR
HG03559	m	MSL	Mende in Sierra Leone	AFR
HG03563	f	MSL	Mende in Sierra Leone	AFR
HG03565	m	MSL	Mende in Sierra Leone	AFR
HG03567	f	MSL	Mende in Sierra Leone	AFR
HG03571	m	MSL	Mende in Sierra Leone	AFR
HG03572	f	MSL	Mende in Sierra Leone	AFR
HG03575	f	MSL	Mende in Sierra Leone	AFR
HG03577	m	MSL	Mende in Sierra Leone	AFR
HG03578	f	MSL	Mende in Sierra Leone	AFR
HG03583	f	MSL	Mende in Sierra Leone	AFR
NA18486	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18488	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18489	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18498	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18499	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18501	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18502	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18504	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18505	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18507	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18508	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18510	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18511	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18516	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18517	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18519	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18520	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18522	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18523	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18853	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18856	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18858	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18861	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18864	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18865	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18867	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18868	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18870	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18871	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18873	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18874	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18876	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18877	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18878	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18879	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18881	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18907	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18908	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18909	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18910	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18912	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18915	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18916	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18917	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18923	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18924	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18933	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA18934	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19092	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19093	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19095	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19096	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19098	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19099	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19102	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19107	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19108	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19113	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19114	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19116	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19117	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19118	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19119	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19121	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19129	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19130	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19131	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19137	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19138	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19141	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19143	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19144	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19146	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19147	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19149	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19152	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19153	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19159	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19160	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19171	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19172	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19175	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19184	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19185	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19189	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19190	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19197	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19198	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19200	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19201	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19204	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19206	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19207	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19209	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19210	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19213	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19214	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19222	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19223	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19225	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19235	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19236	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19238	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19239	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19247	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19248	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19256	m	YRI	Yoruba in Ibadan - Nigeria	AFR
NA19257	f	YRI	Yoruba in Ibadan - Nigeria	AFR
NA06984	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA06985	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA06986	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA06989	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA06994	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA07000	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA07037	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA07048	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA07051	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA07056	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA07347	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA07357	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA10847	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA10851	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA11829	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA11830	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA11831	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA11832	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA11840	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA11843	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA11881	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA11892	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA11893	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA11894	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA11918	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA11919	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA11920	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA11930	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA11931	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA11932	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA11933	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA11992	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA11994	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA11995	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12003	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12004	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12005	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12006	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12043	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12044	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12045	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12046	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12058	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12144	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12154	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12155	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12156	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12234	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12249	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12272	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12273	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12275	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12282	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12283	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12286	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12287	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12340	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12341	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12342	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12347	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12348	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12383	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12399	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12400	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12413	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12414	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12489	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12546	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12716	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12717	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12718	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12748	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12749	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12750	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12751	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12760	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12761	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12762	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12763	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12775	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12776	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12777	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12778	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12812	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12813	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12814	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12815	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12827	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12828	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12829	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12830	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12842	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12843	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12872	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12873	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12874	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12878	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12889	m	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
NA12890	f	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	EUR
HG00171	f	FIN	Finnish in Finland	EUR
HG00173	f	FIN	Finnish in Finland	EUR
HG00174	f	FIN	Finnish in Finland	EUR
HG00176	f	FIN	Finnish in Finland	EUR
HG00177	f	FIN	Finnish in Finland	EUR
HG00178	f	FIN	Finnish in Finland	EUR
HG00179	f	FIN	Finnish in Finland	EUR
HG00180	f	FIN	Finnish in Finland	EUR
HG00181	m	FIN	Finnish in Finland	EUR
HG00182	m	FIN	Finnish in Finland	EUR
HG00183	m	FIN	Finnish in Finland	EUR
HG00185	m	FIN	Finnish in Finland	EUR
HG00186	m	FIN	Finnish in Finland	EUR
HG00187	m	FIN	Finnish in Finland	EUR
HG00188	m	FIN	Finnish in Finland	EUR
HG00189	m	FIN	Finnish in Finland	EUR
HG00190	m	FIN	Finnish in Finland	EUR
HG00266	f	FIN	Finnish in Finland	EUR
HG00267	m	FIN	Finnish in Finland	EUR
HG00268	f	FIN	Finnish in Finland	EUR
HG00269	f	FIN	Finnish in Finland	EUR
HG00271	m	FIN	Finnish in Finland	EUR
HG00272	f	FIN	Finnish in Finland	EUR
HG00273	m	FIN	Finnish in Finland	EUR
HG00274	f	FIN	Finnish in Finland	EUR
HG00275	f	FIN	Finnish in Finland	EUR
HG00276	f	FIN	Finnish in Finland	EUR
HG00277	m	FIN	Finnish in Finland	EUR
HG00278	m	FIN	Finnish in Finland	EUR
HG00280	m	FIN	Finnish in Finland	EUR
HG00281	f	FIN	Finnish in Finland	EUR
HG00282	f	FIN	Finnish in Finland	EUR
HG00284	m	FIN	Finnish in Finland	EUR
HG00285	f	FIN	Finnish in Finland	EUR
HG00288	f	FIN	Finnish in Finland	EUR
HG00290	m	FIN	Finnish in Finland	EUR
HG00304	f	FIN	Finnish in Finland	EUR
HG00306	f	FIN	Finnish in Finland	EUR
HG00308	m	FIN	Finnish in Finland	EUR
HG00309	f	FIN	Finnish in Finland	EUR
HG00310	m	FIN	Finnish in Finland	EUR
HG00311	m	FIN	Finnish in Finland	EUR
HG00313	f	FIN	Finnish in Finland	EUR
HG00315	f	FIN	Finnish in Finland	EUR
HG00318	f	FIN	Finnish in Finland	EUR
HG00319	f	FIN	Finnish in Finland	EUR
HG00320	f	FIN	Finnish in Finland	EUR
HG00321	m	FIN	Finnish in Finland	EUR
HG00323	f	FIN	Finnish in Finland	EUR
HG00324	f	FIN	Finnish in Finland	EUR
HG00325	m	FIN	Finnish in Finland	EUR
HG00326	f	FIN	Finnish in Finland	EUR
HG00327	f	FIN	Finnish in Finland	EUR
HG00328	f	FIN	Finnish in Finland	EUR
HG00329	m	FIN	Finnish in Finland	EUR
HG00330	f	FIN	Finnish in Finland	EUR
HG00331	f	FIN	Finnish in Finland	EUR
HG00332	f	FIN	Finnish in Finland	EUR
HG00334	f	FIN	Finnish in Finland	EUR
HG00335	m	FIN	Finnish in Finland	EUR
HG00336	m	FIN	Finnish in Finland	EUR
HG00337	f	FIN	Finnish in Finland	EUR
HG00338	m	FIN	Finnish in Finland	EUR
HG00339	f	FIN	Finnish in Finland	EUR
HG00341	m	FIN	Finnish in Finland	EUR
HG00342	m	FIN	Finnish in Finland	EUR
HG00343	f	FIN	Finnish in Finland	EUR
HG00344	f	FIN	Finnish in Finland	EUR
HG00345	m	FIN	Finnish in Finland	EUR
HG00346	f	FIN	Finnish in Finland	EUR
HG00349	f	FIN	Finnish in Finland	EUR
HG00350	f	FIN	Finnish in Finland	EUR
HG00351	m	FIN	Finnish in Finland	EUR
HG00353	f	FIN	Finnish in Finland	EUR
HG00355	f	FIN	Finnish in Finland	EUR
HG00356	f	FIN	Finnish in Finland	EUR
HG00357	f	FIN	Finnish in Finland	EUR
HG00358	m	FIN	Finnish in Finland	EUR
HG00360	m	FIN	Finnish in Finland	EUR
HG00361	f	FIN	Finnish in Finland	EUR
HG00362	f	FIN	Finnish in Finland	EUR
HG00364	f	FIN	Finnish in Finland	EUR
HG00365	f	FIN	Finnish in Finland	EUR
HG00366	m	FIN	Finnish in Finland	EUR
HG00367	f	FIN	Finnish in Finland	EUR
HG00368	f	FIN	Finnish in Finland	EUR
HG00369	m	FIN	Finnish in Finland	EUR
HG00371	m	FIN	Finnish in Finland	EUR
HG00372	m	FIN	Finnish in Finland	EUR
HG00373	f	FIN	Finnish in Finland	EUR
HG00375	m	FIN	Finnish in Finland	EUR
HG00376	f	FIN	Finnish in Finland	EUR
HG00378	f	FIN	Finnish in Finland	EUR
HG00379	f	FIN	Finnish in Finland	EUR
HG00380	f	FIN	Finnish in Finland	EUR
HG00381	f	FIN	Finnish in Finland	EUR
HG00382	m	FIN	Finnish in Finland	EUR
HG00383	f	FIN	Finnish in Finland	EUR
HG00384	f	FIN	Finnish in Finland	EUR
HG00096	m	GBR	British in England and Scotland	EUR
HG00097	f	GBR	British in England and Scotland	EUR
HG00099	f	GBR	British in England and Scotland	EUR
HG00100	f	GBR	British in England and Scotland	EUR
HG00101	m	GBR	British in England and Scotland	EUR
HG00102	f	GBR	British in England and Scotland	EUR
HG00103	m	GBR	British in England and Scotland	EUR
HG00105	m	GBR	British in England and Scotland	EUR
HG00106	f	GBR	British in England and Scotland	EUR
HG00107	m	GBR	British in England and Scotland	EUR
HG00108	m	GBR	British in England and Scotland	EUR
HG00109	m	GBR	British in England and Scotland	EUR
HG00110	f	GBR	British in England and Scotland	EUR
HG00111	f	GBR	British in England and Scotland	EUR
HG00112	m	GBR	British in England and Scotland	EUR
HG00113	m	GBR	British in England and Scotland	EUR
HG00114	m	GBR	British in England and Scotland	EUR
HG00115	m	GBR	British in England and Scotland	EUR
HG00116	m	GBR	British in England and Scotland	EUR
HG00117	m	GBR	British in England and Scotland	EUR
HG00118	f	GBR	British in England and Scotland	EUR
HG00119	m	GBR	British in England and Scotland	EUR
HG00120	f	GBR	British in England and Scotland	EUR
HG00121	f	GBR	British in England and Scotland	EUR
HG00122	f	GBR	British in England and Scotland	EUR
HG00123	f	GBR	British in England and Scotland	EUR
HG00125	f	GBR	British in England and Scotland	EUR
HG00126	m	GBR	British in England and Scotland	EUR
HG00127	f	GBR	British in England and Scotland	EUR
HG00128	f	GBR	British in England and Scotland	EUR
HG00129	m	GBR	British in England and Scotland	EUR
HG00130	f	GBR	British in England and Scotland	EUR
HG00131	m	GBR	British in England and Scotland	EUR
HG00132	f	GBR	British in England and Scotland	EUR
HG00133	f	GBR	British in England and Scotland	EUR
HG00136	m	GBR	British in England and Scotland	EUR
HG00137	f	GBR	British in England and Scotland	EUR
HG00138	m	GBR	British in England and Scotland	EUR
HG00139	m	GBR	British in England and Scotland	EUR
HG00140	m	GBR	British in England and Scotland	EUR
HG00141	m	GBR	British in England and Scotland	EUR
HG00142	m	GBR	British in England and Scotland	EUR
HG00143	m	GBR	British in England and Scotland	EUR
HG00145	m	GBR	British in England and Scotland	EUR
HG00146	f	GBR	British in England and Scotland	EUR
HG00148	m	GBR	British in England and Scotland	EUR
HG00149	m	GBR	British in England and Scotland	EUR
HG00150	f	GBR	British in England and Scotland	EUR
HG00151	m	GBR	British in England and Scotland	EUR
HG00154	f	GBR	British in England and Scotland	EUR
HG00155	m	GBR	British in England and Scotland	EUR
HG00157	m	GBR	British in England and Scotland	EUR
HG00158	f	GBR	British in England and Scotland	EUR
HG00159	m	GBR	British in England and Scotland	EUR
HG00160	m	GBR	British in England and Scotland	EUR
HG00231	f	GBR	British in England and Scotland	EUR
HG00232	f	GBR	British in England and Scotland	EUR
HG00233	f	GBR	British in England and Scotland	EUR
HG00234	m	GBR	British in England and Scotland	EUR
HG00235	f	GBR	British in England and Scotland	EUR
HG00236	f	GBR	British in England and Scotland	EUR
HG00237	f	GBR	British in England and Scotland	EUR
HG00238	f	GBR	British in England and Scotland	EUR
HG00239	f	GBR	British in England and Scotland	EUR
HG00240	f	GBR	British in England and Scotland	EUR
HG00242	m	GBR	British in England and Scotland	EUR
HG00243	m	GBR	British in England and Scotland	EUR
HG00244	m	GBR	British in England and Scotland	EUR
HG00245	f	GBR	British in England and Scotland	EUR
HG00246	m	GBR	British in England and Scotland	EUR
HG00250	f	GBR	British in England and Scotland	EUR
HG00251	m	GBR	British in England and Scotland	EUR
HG00252	m	GBR	British in England and Scotland	EUR
HG00253	f	GBR	British in England and Scotland	EUR
HG00254	f	GBR	British in England and Scotland	EUR
HG00255	f	GBR	British in England and Scotland	EUR
HG00256	m	GBR	British in England and Scotland	EUR
HG00257	f	GBR	British in England and Scotland	EUR
HG00258	f	GBR	British in England and Scotland	EUR
HG00259	f	GBR	British in England and Scotland	EUR
HG00260	m	GBR	British in England and Scotland	EUR
HG00261	f	GBR	British in England and Scotland	EUR
HG00262	f	GBR	British in England and Scotland	EUR
HG00263	f	GBR	British in England and Scotland	EUR
HG00264	m	GBR	British in England and Scotland	EUR
HG00265	m	GBR	British in England and Scotland	EUR
HG01334	m	GBR	British in England and Scotland	EUR
HG01789	m	GBR	British in England and Scotland	EUR
HG01790	f	GBR	British in England and Scotland	EUR
